Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,43308.300781,43397.449219,42758.398438,42832.000000,42832.000000,188300
2023-10-26,42708.398438,42716.199219,42105.398438,42280.148438,42280.148438,307100
2023-10-27,42555.601563,42840.148438,42482.750000,42782.000000,42782.000000,213900
2023-10-30,42721.398438,43112.500000,42390.500000,43039.148438,43039.148438,189000
2023-10-31,43356.851563,43356.851563,42797.148438,42845.949219,42845.949219,157400
2023-11-01,42694.250000,42815.148438,42589.648438,42700.949219,42700.949219,145200
2023-11-02,43018.699219,43271.500000,42796.449219,43017.199219,43017.199219,144700
2023-11-03,43318.300781,43416.101563,43221.000000,43318.250000,43318.250000,124100
2023-11-06,43627.750000,43648.699219,43415.199219,43619.398438,43619.398438,149900
2023-11-07,43598.851563,43799.351563,43283.851563,43737.898438,43737.898438,198200
2023-11-08,43791.800781,43797.550781,43547.750000,43658.648438,43658.648438,163400
2023-11-09,43626.101563,43876.750000,43542.648438,43683.601563,43683.601563,108900
2023-11-10,43543.250000,43908.699219,43504.949219,43820.101563,43820.101563,90000
2023-11-13,43915.101563,43970.750000,43681.398438,43891.250000,43891.250000,169600
2023-11-15,44398.449219,44408.550781,44164.550781,44201.699219,44201.699219,202500
2023-11-16,44251.699219,44420.949219,44064.148438,44161.550781,44161.550781,144300
2023-11-17,43656.250000,43872.851563,43513.851563,43583.949219,43583.949219,227400
2023-11-20,43591.500000,43724.000000,43450.050781,43584.949219,43584.949219,124300
2023-11-21,43790.949219,43790.949219,43586.449219,43689.148438,43689.148438,108200
2023-11-22,43663.601563,43692.500000,43230.949219,43449.601563,43449.601563,150900
2023-11-23,43452.750000,43649.648438,43451.351563,43577.500000,43577.500000,72300
2023-11-24,43607.351563,43806.500000,43566.148438,43769.101563,43769.101563,96800
2023-11-28,43851.550781,43960.300781,43739.800781,43880.949219,43880.949219,151200
2023-11-29,44081.750000,44630.351563,44003.449219,44566.449219,44566.449219,152300
2023-11-30,44711.199219,44764.800781,44254.601563,44481.750000,44481.750000,343200
2023-12-01,44580.148438,44951.101563,44531.750000,44814.199219,44814.199219,204900
